sample_id,aep_mw,mean_wind_speed,std_wind_speed,min_wind_speed,max_wind_speed,mean_pairwise_distance,min_pairwise_distance,spacing_violation_sum,wake_exposure,centroid_x,centroid_y,spread_x,spread_y,layout_x,layout_y
38,279.57899987725887,7.089178732956449,0.2129476641175018,6.515925871206476,7.40945532267092,10.426673345866206,0.7446085496609086,0.0,0.2004790512195604,9.609466133817023,8.583982798671645,5.574832449636917,5.740729629472482,"8.417214,3.811988,6.806229,14.042949,4.134493,1.936686,17.698491,15.241933,4.043931,5.879461,19.365872,14.130380,12.192757,6.183349,6.014643,0.864149,14.533080,0.936596,0.176370,14.553183,18.905655,15.089020,9.437341,9.723138,8.732947,6.520930,10.430810,8.634035,11.947651,17.898702","19.820987,1.642267,7.712120,3.665211,7.066070,5.783465,3.542817,15.239269,9.926369,18.317832,0.726634,1.408844,8.080948,1.672702,5.292555,19.642830,4.225759,4.010656,11.461031,9.960286,11.595896,7.554428,16.482965,2.829438,8.579310,13.764875,17.305811,7.412301,11.344073,1.451737"
39,290.0979733676508,7.1611975516975,0.20182059472060873,6.497643793241016,7.498845514128755,11.0156401250033,0.22005797716188225,0.35988404567623555,0.2436456649900001,9.382667355396201,8.346210903033661,5.942886646893946,6.043525142668903,"3.459131,1.451701,14.521157,5.795110,14.439107,1.397342,17.192948,16.656919,1.844346,0.551329,1.196770,17.016023,4.736517,10.957743,8.536685,15.863226,9.779742,10.013111,19.703584,3.058570,16.561166,1.106715,9.556552,17.664883,13.277845,13.674658,5.304215,8.384524,7.352968,10.425433","9.250602,6.565663,6.140735,5.056921,7.322537,3.054839,17.382549,12.026049,2.734323,13.846169,16.897703,4.792708,3.067916,0.250966,1.017447,15.203067,19.665777,0.970426,14.921728,1.505745,11.827915,15.080534,7.206615,0.296945,11.888557,19.746293,5.191130,3.839507,2.538690,11.096271"
40,286.0697399685803,7.143157630071026,0.16030459717750817,6.81282630925191,7.494595435667014,9.4856294979653,0.4613118548635419,0.0,0.3436646497527363,10.74751052415785,11.063733897095226,5.767226582937214,4.527584462723955,"11.913471,15.798653,15.020974,17.788023,16.066530,4.985779,11.108608,5.980653,6.622942,18.569776,13.608815,19.415874,8.351545,10.742761,9.744370,2.208575,4.776168,10.548305,1.416706,18.560205,2.537059,4.007938,15.263973,2.003181,17.941517,14.477907,1.441438,13.806246,12.611510,15.105813","16.511445,14.332075,11.709738,6.477672,13.913909,19.066316,11.736432,13.260602,8.752620,15.081437,19.873721,3.262124,4.095721,10.782445,9.630488,11.419945,1.053629,8.100845,11.646289,11.690196,13.121506,14.369086,12.808297,15.758424,12.475251,10.744152,12.106937,2.087676,5.499426,10.543612"
41,287.3659015963934,7.179825290486291,0.16960524846098532,6.836587902161468,7.535762196099332,10.699047560119098,0.28480654290735347,0.4122969571393459,0.30041862628018523,9.897325190053632,10.004470054039167,5.328294903544368,6.208640677504392,"17.400066,13.552383,1.873696,11.830735,4.479282,14.642889,16.496427,11.854172,11.812634,6.797654,8.933600,17.223910,14.430675,10.391913,7.385731,1.079534,2.917267,3.909620,7.487929,18.811810,10.102243,4.739229,2.178083,6.791982,16.264096,7.685521,15.406515,16.005667,2.278684,12.155809","19.108466,8.058419,1.090731,18.398325,17.611939,10.439286,11.036702,4.280943,16.337903,9.972225,0.752135,13.631017,18.937846,16.530346,5.579611,1.137970,18.736572,18.671324,10.643120,12.823577,9.257985,8.408145,2.449857,1.999578,4.697406,16.678952,2.973313,4.577701,10.964503,4.348203"
42,291.5007186071713,7.1360754737174945,0.21945238395342406,6.510898170231097,7.475887641597238,10.25671566566599,0.49230259667630527,0.0,0.11294345075116641,10.29377407968349,10.44175344546357,5.444214772093935,5.705620945989726,"3.318021,11.256194,7.382970,12.503000,18.178154,3.075704,18.202524,17.985401,16.529098,12.604713,12.383710,12.761979,13.779432,0.407007,19.088557,11.698379,15.584282,7.565272,0.325961,10.193136,10.142652,8.749867,6.819986,5.036550,10.546490,7.525518,19.323449,3.510878,6.422165,5.912176","10.859254,9.985720,12.851811,18.928035,5.738786,13.824588,0.576798,5.285787,9.280199,0.694937,12.334562,13.537682,14.895157,10.328838,12.062262,7.937935,0.898460,2.063045,13.075119,19.831817,0.393536,11.142457,14.980014,16.483213,10.896865,12.379133,13.903023,17.121890,2.506224,18.455455"
43,283.37107551351573,7.176272717432421,0.16387777398267572,6.940986987047976,7.527199107233294,10.460979381655827,0.33505292716450685,0.12989414567098634,0.3953772899037225,8.87597053107984,11.114928332321883,5.925635724566229,5.329601692762792,"0.596185,16.670203,1.602530,3.941424,0.157260,8.913893,6.713687,3.373299,9.029629,8.063038,15.310395,17.799705,13.026934,2.548302,5.940553,18.200235,1.840492,8.152020,18.779292,18.941190,8.238271,13.321154,9.141833,15.028657,0.706574,2.940078,12.265704,4.693837,13.294478,7.048263","17.671048,16.334106,9.857902,15.414239,5.459376,9.886114,3.998044,17.159982,16.409662,17.978649,17.489143,19.118390,4.610191,18.567394,11.412870,8.462302,11.197818,6.877231,5.804892,4.867676,1.715371,9.931848,17.693192,12.582215,10.416157,8.583283,9.293728,4.232063,16.407048,4.015918"
44,284.3114940825959,7.157154113273126,0.14325128831629536,6.826241051411412,7.5070729449597495,9.304664772923514,0.10600820635975007,0.8011744307079522,0.6057866744922402,11.951894542423982,11.211967748371958,5.021417682791243,5.158413581139773,"14.297795,15.158103,11.485402,17.200459,5.854439,17.571286,14.551504,15.927197,13.265261,16.871445,19.783081,8.416031,16.228087,14.852462,9.064944,18.470668,7.905410,11.298844,2.181896,4.559380,16.759412,7.947606,7.898628,4.960263,9.833549,16.067409,17.840056,1.471070,11.484443,9.350704","12.267352,8.953950,7.989113,9.442113,11.626863,10.019507,9.447346,16.305853,14.873656,6.852949,15.963450,17.016429,3.125285,11.640420,5.740590,14.745179,4.817501,13.400646,5.141673,10.221092,18.901146,7.645142,17.454652,19.660980,17.437041,3.370782,16.342019,0.717844,7.883109,17.355350"
45,288.63311910881237,7.133107163192095,0.19665631112454235,6.64040554720685,7.515480957412448,10.198912660185542,0.4184926418047682,0.0,0.1699215902217672,10.327459879588847,9.453598459833493,5.584145692767023,5.515519013306705,"13.744844,10.649570,7.775222,16.195971,14.157639,9.373162,17.786889,4.642169,3.460568,12.833227,19.364368,4.985570,5.033460,2.847657,17.153581,4.571727,10.063062,19.738910,0.320875,11.120684,10.243815,16.099756,7.128786,8.221173,3.411890,14.777774,15.648625,2.791400,7.886188,17.795235","0.133712,6.007380,11.092039,6.708422,5.477377,9.207144,3.681418,10.587765,14.100847,11.493852,1.927289,16.833067,3.551560,15.253870,7.233612,15.609985,4.172454,3.783376,9.940993,0.733451,4.549899,14.444403,16.693688,1.682782,17.580422,15.902741,17.334536,13.936823,13.455197,10.497850"
46,295.4837336819828,7.15944659346358,0.22486995468423432,6.582210628807466,7.5493330054381715,11.189522827518713,0.6859786829407943,0.0,0.1206009351317583,10.123385624158216,9.92877020837593,5.97473273019247,6.14138893129037,"13.031299,18.315136,2.074357,6.344767,1.517507,18.824935,8.914067,13.478834,16.767822,19.741445,3.289764,15.942330,17.686470,1.049687,15.041157,7.117750,12.948160,10.278716,5.233286,2.762792,2.400233,2.129925,12.733754,7.051991,4.378007,13.807000,13.707095,10.777099,18.629563,7.726618","16.663521,1.570766,14.758249,19.690797,16.876509,11.580548,12.515039,7.089265,13.560987,15.364644,19.884853,9.850464,1.296273,11.901822,2.441439,4.936138,6.602993,14.583633,3.726753,3.368538,0.972091,17.405080,13.839148,0.872538,0.641319,11.164098,5.685483,11.919051,8.702547,18.398521"
47,285.7206187696548,7.154722019091818,0.15958768514222607,6.705639792526908,7.558627096049726,9.47497109705254,0.339734621142927,0.23149362437131693,0.38232906679668244,9.801177852548403,8.45786447540142,5.296481349019431,5.0278531778865965,"5.790131,13.554244,1.152438,19.044273,19.538228,14.743241,9.309815,4.444670,16.200324,14.689265,4.483568,9.032111,9.261931,16.475985,13.647479,12.840444,12.972576,5.446126,7.454751,0.985940,15.692912,8.670685,8.774649,4.947868,4.235037,11.742387,4.693852,1.353904,15.307347,7.549154","7.623874,8.637355,16.250489,6.445404,15.119438,18.720570,13.191625,8.644553,14.916148,9.164684,8.302237,10.501618,6.383611,2.148324,8.310664,2.537321,8.223159,11.129565,18.545310,0.798651,12.409735,9.161466,0.481981,5.031036,2.430747,4.381196,5.527474,8.041918,10.576142,0.099641"
48,274.4248926936533,7.099535867509926,0.21939711166300635,6.47948445902751,7.481178693023451,11.334658567729496,0.7002370550215805,0.0,0.3519796363420658,9.843477727290294,8.934526044429019,6.708895651743224,5.6113571238045745,"3.291488,1.936357,10.985520,6.608845,10.960211,4.480974,0.560710,18.756719,2.228833,2.596878,2.987489,19.548526,12.334379,12.188153,19.656092,1.834625,19.414098,4.127621,12.441739,8.414458,7.697604,18.555868,3.040678,19.861849,7.601841,12.951694,19.283270,1.222805,18.389629,11.345378","14.055234,3.039814,10.662407,13.442512,9.131947,3.154906,4.923322,17.031153,0.763904,14.143824,19.907898,0.228463,3.275146,13.455023,1.270218,11.781433,13.650562,11.748824,7.325265,13.914081,11.870801,4.199521,11.252609,17.577039,13.309972,9.440344,6.460229,1.783982,4.933402,0.301945"
49,271.40314871303394,7.1804315757113555,0.17540671728885113,6.767712073292585,7.515723911470466,10.655983475505712,0.08196832764744716,1.2691882074590024,1.1384873214839024,9.767263535666697,10.128528259428728,6.141164277598953,5.428600709432629,"19.654658,4.494048,16.247139,3.425914,5.706647,8.378622,6.516208,15.919280,19.080637,17.445843,3.126985,15.489503,3.015267,18.201481,10.354711,6.753801,3.195386,0.314292,4.999268,18.214158,15.897682,19.320707,2.079109,11.828826,5.181865,10.851963,6.437825,5.703957,11.465091,3.717032","9.387607,12.992115,2.623132,18.542990,10.113578,16.339435,13.053484,14.166419,14.288038,17.441982,12.253932,5.599828,2.054271,12.108012,1.396440,4.867262,1.284431,10.969930,3.261108,12.190481,15.770764,16.386114,6.221343,10.971258,11.250133,9.462082,13.077460,4.248129,19.508186,2.025904"
